epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,301.818,0.87468,0.50332,0.91552,0.99361,0.99405,0.99328,0.77203,0.83836,0.4125,0.9239,0.00102722,0.00102722,0.00102722
80,305.776,0.88179,0.48128,0.91628,0.99593,0.99524,0.99351,0.77174,0.82827,0.40147,0.91737,0.00102615,0.00102615,0.00102615
81,309.541,0.87976,0.47365,0.93516,0.99517,0.99516,0.99318,0.76306,0.83708,0.40745,0.92222,0.00102507,0.00102507,0.00102507
82,313.264,0.86811,0.49398,0.91254,0.9839,0.99297,0.9926,0.76937,0.85153,0.40597,0.92937,0.001024,0.001024,0.001024
83,317.002,0.86746,0.48965,0.90606,0.98026,0.99487,0.9902,0.77049,0.81974,0.40808,0.91477,0.00102292,0.00102292,0.00102292
84,320.693,0.88288,0.47308,0.92873,0.96979,0.99103,0.99143,0.76863,0.8353,0.42888,0.91888,0.00102185,0.00102185,0.00102185
85,324.441,0.89849,0.48467,0.92301,0.98155,0.98757,0.99038,0.7596,0.83592,0.42808,0.91593,0.00102077,0.00102077,0.00102077
86,328.309,0.87345,0.50356,0.90451,0.98334,0.98982,0.99432,0.75165,0.84621,0.42831,0.92258,0.0010197,0.0010197,0.0010197
87,332.027,0.90266,0.47912,0.913,0.99032,0.99297,0.99382,0.77147,0.83277,0.40791,0.91774,0.00101863,0.00101863,0.00101863
88,335.701,0.81546,0.6047,0.83976,0.98844,0.99211,0.99373,0.75814,0.84844,0.41791,0.92257,0.00101755,0.00101755,0.00101755
89,339.455,0.89621,0.48895,0.91395,0.98947,0.98815,0.99447,0.77765,0.82342,0.45053,0.91522,0.00101648,0.00101648,0.00101648
90,343.222,0.90479,0.50613,0.93164,0.98786,0.9826,0.99387,0.76815,0.83447,0.41717,0.92291,0.0010154,0.0010154,0.0010154
91,347.126,0.88168,0.47586,0.90554,0.99066,0.99307,0.99387,0.76705,0.83149,0.41564,0.91931,0.00101433,0.00101433,0.00101433
92,350.84,0.93925,0.51214,0.92691,0.98226,0.99218,0.99271,0.77041,0.83352,0.4171,0.91877,0.00101326,0.00101326,0.00101326
93,354.524,0.88083,0.48617,0.90565,0.98426,0.99184,0.99423,0.77857,0.81812,0.40084,0.91826,0.00101218,0.00101218,0.00101218
94,358.232,0.8813,0.45842,0.91919,0.98872,0.99386,0.99426,0.75966,0.87133,0.41598,0.93155,0.00101111,0.00101111,0.00101111
95,361.827,0.80012,0.4941,0.83205,0.98042,0.99643,0.99405,0.7779,0.81422,0.40149,0.91461,0.00101003,0.00101003,0.00101003
96,365.627,0.8786,0.49115,0.91648,0.98417,0.99565,0.99329,0.78988,0.81684,0.3867,0.91333,0.00100896,0.00100896,0.00100896
97,369.329,0.90679,0.50358,0.92371,0.9933,0.9863,0.99355,0.78398,0.83108,0.40915,0.91432,0.00100789,0.00100789,0.00100789
98,372.961,0.89474,0.46453,0.98236,0.98428,0.9894,0.99406,0.7923,0.80249,0.40252,0.90668,0.00100681,0.00100681,0.00100681
99,376.692,0.87413,0.48256,0.9322,0.9915,0.99379,0.99458,0.78729,0.82194,0.39168,0.919,0.00100574,0.00100574,0.00100574
100,380.334,0.84785,0.48662,0.93061,0.98585,0.99391,0.99372,0.78536,0.82376,0.40067,0.91527,0.00100466,0.00100466,0.00100466
101,384.126,0.87242,0.44689,0.90608,0.99145,0.99351,0.99398,0.77671,0.82904,0.39992,0.91644,0.00100359,0.00100359,0.00100359
102,387.766,0.84269,0.45635,0.9014,0.99264,0.99028,0.99444,0.78859,0.80421,0.39299,0.91103,0.00100251,0.00100251,0.00100251
103,391.439,0.8771,0.48675,0.90985,0.98071,0.9608,0.9916,0.7745,0.82559,0.41213,0.91534,0.00100144,0.00100144,0.00100144
