epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,225.582,0.91822,0.54671,0.92057,0.99202,0.99318,0.99355,0.77667,0.83897,0.44431,0.928,0.00104978,0.00104978,0.00104978
59,229.287,0.90539,0.53841,0.9303,0.97756,0.9911,0.99307,0.76546,0.84496,0.43067,0.92983,0.0010487,0.0010487,0.0010487
60,233.073,0.90542,0.58988,0.93136,0.9855,0.99446,0.99209,0.78124,0.83064,0.42186,0.92476,0.00104763,0.00104763,0.00104763
61,236.858,0.88489,0.53913,0.91194,0.98555,0.98726,0.99253,0.76703,0.8715,0.43772,0.9363,0.00104655,0.00104655,0.00104655
62,240.57,0.90715,0.53203,0.94865,0.9743,0.99537,0.99272,0.78218,0.84284,0.42815,0.9297,0.00104548,0.00104548,0.00104548
63,244.613,0.86085,0.50387,0.92883,0.99166,0.99539,0.99239,0.78348,0.8308,0.41299,0.92314,0.00104441,0.00104441,0.00104441
64,248.444,0.89629,0.51406,0.93155,0.98548,0.99509,0.9918,0.77015,0.85365,0.43026,0.93128,0.00104333,0.00104333,0.00104333
65,252.555,0.90252,0.51108,0.93678,0.99312,0.9929,0.99164,0.74255,0.87334,0.4555,0.94078,0.00104226,0.00104226,0.00104226
66,256.237,0.87711,0.50503,0.92351,0.97587,0.98943,0.99231,0.76152,0.8651,0.46997,0.93609,0.00104118,0.00104118,0.00104118
67,259.984,0.84995,0.48227,0.91158,0.99313,0.99049,0.9919,0.76768,0.8483,0.41766,0.93017,0.00104011,0.00104011,0.00104011
68,263.766,0.89918,0.49811,0.92423,0.99213,0.99615,0.99245,0.76959,0.8449,0.41595,0.92987,0.00103903,0.00103903,0.00103903
69,267.427,0.89755,0.51584,0.93208,0.99284,0.99558,0.99302,0.76236,0.86552,0.4244,0.93364,0.00103796,0.00103796,0.00103796
70,271.129,0.84987,0.4981,0.91351,0.99202,0.99732,0.99304,0.76479,0.83861,0.40735,0.92727,0.00103689,0.00103689,0.00103689
71,275.01,0.89643,0.51112,0.89976,0.98837,0.99412,0.99327,0.77693,0.83899,0.40875,0.92582,0.00103581,0.00103581,0.00103581
72,278.757,0.87071,0.50103,0.91596,0.98197,0.99631,0.99337,0.77881,0.82849,0.41884,0.92302,0.00103474,0.00103474,0.00103474
73,282.662,0.90522,0.48461,0.90453,0.99451,0.99495,0.99359,0.77803,0.85328,0.41041,0.92904,0.00103366,0.00103366,0.00103366
74,286.361,0.80972,0.5557,0.83206,0.99262,0.99451,0.99359,0.78949,0.83069,0.40295,0.92264,0.00103259,0.00103259,0.00103259
75,290.294,0.87887,0.47982,0.92889,0.99276,0.997,0.99368,0.79554,0.81354,0.39417,0.91671,0.00103152,0.00103152,0.00103152
76,294.192,0.83325,0.44826,0.90608,0.99355,0.99599,0.9936,0.79381,0.81246,0.39484,0.9167,0.00103044,0.00103044,0.00103044
77,297.941,0.88249,0.47992,0.94804,0.99208,0.99618,0.99356,0.78489,0.8218,0.3981,0.91873,0.00102937,0.00102937,0.00102937
78,301.615,0.88576,0.46819,0.92711,0.99349,0.99211,0.99386,0.791,0.82093,0.39365,0.91825,0.00102829,0.00102829,0.00102829
